"Sector Index","Sector Name","118 Hotels & Restaurant","119 Financial services","120 Insurance services","121 Ownership of dwellings","122 Education and research","123 Medical and Health","124 Legal services","125 Computer related services","126 Other Business services"
"46","Tobacco Products","0","0","0","0","0","0","0","0","0"
"47","Khadi, cotton textiles(handlooms)","0","0","0","0","0","0","0","0","0"
"48","Cotton textiles","0","0","0","0","0","0","0","0","0"
"49","Woolen textiles","0","0","0","0","0","0","0","0","0"
"50","Silk textiles","0","0","0","0","0","0","0","0","0"
"51","Art silk, synthetic fiber textiles","0","0","0","0","0","0","0","0","0"
"52","Jute, hemp, mesta textiles","0","0","0","0","0","0","0","0","0"
"53","Carpet weaving","0","0","0","0","0","0","0","0","0"
"54","Miscellaneous textile products","0","0","0","0","0","0","0","0","0"
"55","Ready made garments","0","0","0","0","0","0","0","0","0"
"56","Wood and wood products except furniture","1","2","0","0","0","0","0","0","0"
"57","Paper, Paper products and newsprint","0","60","1","0","11","3","0","1","8"
"58","Publishing, printing and allied activities","0","2","0","0","0","0","0","0","1"
"59","Furniture & Fixtures","0","0","0","0","0","0","0","0","0"
"60","Leather footwear","0","0","0","0","0","0","0","0","0"
"61","Leather and leather products","0","0","0","0","0","0","0","0","0"
"62","Rubber products","0","0","0","0","0","0","0","0","0"
"63","Plastic products","0","1","0","0","0","0","0","0","0"
"64","Petroleum products","2","4","0","0","3","1","0","0","1"
"65","Coal tar products","0","0","0","0","0","0","0","0","0"
"66","Inorganic heavy chemicals","0","0","0","0","0","0","0","0","0"
"67","Organic heavy chemicals","0","0","0","0","0","0","0","0","0"
"68","Fertilizers","0","0","0","0","0","0","0","0","0"
"69","Pesticides","0","0","0","0","0","0","0","0","0"
"70","Paints, varnishes and lacquers","0","0","0","0","0","0","0","0","0"
"71","Soaps, cosmetics & glycerin","0","0","0","0","0","0","0","0","0"
"72","Synthetic fibers, resin","0","0","0","0","0","0","0","0","0"
"73","Other chemicals","0","0","0","0","0","0","0","0","0"
"74","Drugs and medicine","0","0","0","0","0","0","0","0","0"
"75","Structural clay products","0","0","0","0","0","0","0","0","0"
"76","Cement","0","0","0","0","0","0","0","0","0"
"77","Other non-metallic mineral prods.","0","0","0","0","0","0","0","0","0"
"78","Iron, steel and ferro alloys","0","0","0","0","0","0","0","0","0"
"79","Iron and steel casting & forging","0","0","0","0","0","0","0","0","0"
"80","Iron and steel foundries","0","0","0","0","0","0","0","0","0"
"81","Non ferrous basic metals (including alloys)","0","0","0","0","0","0","0","0","0"
"82","Hand tools, hardware","0","0","0","0","0","0","0","0","0"
"83","Miscellaneous metal products","0","0","0","0","0","0","0","0","0"
"84","Tractors and agri. implements","0","0","0","0","0","0","0","0","0"
"85","Industrial machinery (F & T)","0","0","0","0","0","0","0","0","0"
"86","Industrial machinery(others)","0","0","0","0","0","0","0","0","0"
"87","Machine tools","0","0","0","0","0","0","0","0","0"
"88","Other non-electrical machinery","0","0","0","0","0","0","0","0","0"
"89","Electrical industrial Machinery","0","0","0","0","0","0","0","0","0"
"90","Electrical wires & cables","0","0","0","0","0","0","0","0","0"
"91","Batteries","0","0","0","0","0","0","0","0","0"
"92","Other electrical Machinery","0","0","0","0","0","0","0","0","0"
"93","Electrical appliances","0","0","0","0","0","0","0","0","0"
"94","Electronic equipments (incl.TV)","0","0","0","0","0","0","0","0","0"
"95","Watches and clocks","0","0","0","0","0","0","0","0","0"
"96","Communication equipment","0","0","0","0","0","0","0","0","0"
"97","Ships and boats","0","0","0","0","0","0","0","0","0"
"98","Rail equipments","0","0","0","0","0","0","0","0","0"
"99","Motor vehicles","0","0","0","0","0","0","0","0","0"
"100","Motor cycles and scooters","0","0","0","0","0","0","0","0","0"
"101","Bicycles, cycle-rickshaw","0","0","0","0","0","0","0","0","0"
"102","Other transport equipments","0","0","0","0","0","0","0","0","0"
"103","Aircraft & spacecraft","0","0","0","0","0","0","0","0","0"
"104","Medical, precision&optical instru.s","0","0","0","0","0","0","0","0","0"
"105","Jems & jewelry","0","0","0","0","0","0","0","0","0"
"106","Miscellaneous manufacturing","0","0","0","0","0","0","0","0","0"
"107","Construction and construction services","160","339","1087","31","17","32","34","40","1079"
"108","Electricity","0","0","0","0","0","0","0","0","0"
"109","Water Supply","3277","67","173","1","1","2","1","1","13"
"110","Railway Transport","0","1623","184","0","0","0","0","0","0"
"111","Land transport","0","0","129320","245","2701","1737","3276","701","23502"
"112","Water Transport","0","0","31","103","24","4","12","0","186"
"113","Air transport","0","0","0","0","13458","47","0","0","478"
"114","Supportive and Auxiliary transport activities","0","55","4038","158","242","1109","286","33","3961"
"115","Storage and warehousing","0","14","21","0","1","0","7","0","677"
"116","Communication services","1","12","227","0","0","1","0","6771","1521"
"117","Trade","51","2217","102396","307","4385","2100","2120","3878","123307"
"118","Hotels & Restaurant","0","0","0","0","0","0","0","0","0"
"119","Financial services","12","128","7345","108","400","425","773","256","14141"
"120","Insurance services","0","13","696","10","26","33","29","12","432"
"121","Ownership of dwellings","0","0","0","0","0","0","0","0","0"
"122","Education and research","0","0","0","0","0","0","0","0","0"
"123","Medical and Health","0","0","0","0","0","0","0","0","0"
"124","Legal services","0","0","0","0","0","0","0","0","0"
"125","Computer related services","0","0","0","0","0","0","0","0","0"
"126","Other Business services","13","40","2330","22","32","81","85","29","2749"
"127","Real estate services","0","0","0","0","0","0","0","0","0"
"128","Renting of machinery & equipment","0","0","0","0","0","0","0","0","0"
"129","Community, social and personal services","0","0","0","0","0","0","0","0","0"
"130","Other services","0","0","0","0","0","0","0","0","0"
"131","Public administration and defence","0","0","0","0","0","0","0","0","0"
"Total Input","3595","5293","259253","717","31263","4641","6887","12130","4415892"
"NIT","0","0","0","0","0","0","0","0","0"
"GVA","26639","244247","840939","40960","33989","209590","42521","313707","12933979"
"Total Output","30234","249540","1100192","41677","65252","214231","49408","325837","17349871"
